ticker,is_all_revenue_growth_larger_than_5,median_revenue_growth,is_all_eps_growth_larger_than_10,median_eps_growth,is_roic_larger_than_15,median_roic,is_roe_larger_than_15,median_roe,icr,peg
DT,5,26.64,2,-30.77,0,4.91,1,6.73,27.23,-1.0
DV,3,35.98,2,103.88,0,5.68,0,4.91,65.22,1.06
DVA,4,3.14,6,13.98,0,8.48,6,20.13,3.751,1.01
DVAX,7,48.32,7,17.36,2,-60.44,2,-73.68,42.12,1.69
DXC,2,-7.3,3,-31.61,1,9.28,1,5.38,-3.295,-1.0
DXCM,10,42.82,6,27.5,1,-21.74,2,-13.98,21.03,4.66
DYN,2,0.0,4,-67.03,0,0.0,1,-16.63,-58.61,-1.0
EA,6,6.26,3,1.05,7,41.57,6,20.9,-222.0,35.85
EB,5,42.04,3,23.4,2,-34.0,1,-24.7,-4.148,-1.0
EDIT,4,63.42,3,-1.8,1,-52.99,1,-46.8,-53.48,-1.0
EDR,8,24.48,4,-9.16,0,0.54,2,-0.75,0.633,-1.0
EDU,8,18.59,5,12.13,6,16.32,5,15.02,268.8,3.57
EEX,5,5.65,3,-57.14,1,4.53,1,-3.54,7.339,-1.0
EGAN,8,7.84,5,27.7,3,-50.55,6,16.13,0.0,1.85
EGHT,10,19.7,5,-2.02,0,-19.14,0,-41.67,-16.39,-1.0
EHAB,0,0.26,1,-623.96,0,5.96,0,7.48,7.173,-1.0
EHC,8,7.58,5,8.14,1,10.48,10,24.26,3.574,2.38
EL,5,6.36,4,-10.34,9,22.36,10,30.44,5.918,-1.0
ELAN,3,3.14,3,-6.04,0,2.68,0,-2.5,1.485,-1.0
ELF,7,18.76,5,56.46,1,6.42,1,6.87,33.77,1.25
ELVN,0,0.0,1,-68.55,0,0.0,3,53.39,31.87,-1.0
EMBC,1,-0.8,0,-48.63,3,59.36,1,-8.57,2.07,-1.0
ENFN,3,34.8,1,-133.33,1,-29.68,0,-20.4,-28.97,-1.0
ENOV,4,-7.88,7,81.6,0,3.04,0,4.3,-3.682,-1.0
ENR,4,1.66,5,1.43,4,10.37,6,18.42,2.432,11.43
ENSG,9,12.82,7,16.95,0,9.34,5,14.61,33.24,1.56
ENTA,4,-4.38,3,-27.98,3,7.36,3,6.95,-26.65,-1.0
ENTG,8,14.86,6,10.94,5,13.7,4,10.4,2.297,7.67
EOLS,3,0.0,3,-41.49,1,0.0,4,38.1,-6.329,-1.0
EPAM,10,27.0,5,12.4,9,29.11,6,15.68,57.15,2.7
EPC,1,-2.58,5,2.54,0,6.0,0,6.34,2.861,6.66
EPIX,0,0.0,6,16.67,1,0.0,2,-21.0,-3829.0,-1.0
ERAS,0,0.0,2,13.72,0,0.0,3,63.02,-1.229,-1.0
ERIC,3,1.27,6,30.02,2,8.58,2,8.29,15.07,-1.0
ESCA,6,6.78,4,0.0,1,9.02,3,12.31,6.962,-1.0
ESMT,2,44.02,1,98.22,0,1.65,0,0.69,34.07,1.58
ESPR,1,0.0,4,-4.91,2,0.0,5,-0.82,-3.16,-1.0
ESTA,5,47.97,2,-28.99,1,-49.4,2,-40.61,-3.372,-1.0
ETNB,0,0.0,2,-5.43,0,0.0,0,-65.52,53.2,-1.0
ETSY,9,35.56,5,24.59,5,16.07,6,20.61,-46.48,1.04
ETWO,2,39.5,1,5.03,0,-0.55,0,-5.96,-0.383,-1.0
EVBG,8,35.87,3,2.24,2,-19.23,1,-25.18,-14.1,-1.0
EVC,6,6.54,4,-27.22,2,7.62,4,11.26,5.691,-1.0
EVCM,3,39.41,2,36.73,0,-1.82,0,-8.32,-0.902,-1.0
EVH,6,34.97,4,2.7,0,-4.94,2,-4.6,-3.842,-1.0
EVLV,2,133.01,0,-65.0,0,-369.36,1,-8.24,-142.1,-1.0
EVO,8,22.48,5,23.34,1,3.86,2,7.66,0.95,-1.0
EW,8,10.96,4,-8.36,9,18.52,10,24.06,91.07,-1.0
EWCZ,2,16.06,1,7.43,0,0.86,2,17.23,-0.675,12.78
EWTX,0,0.0,2,21.28,0,0.0,1,-4.44,-5.495,-1.0
EXAI,3,20.03,0,0.0,0,-290.75,0,-24.76,-433.9,-1.0
EXAS,8,70.5,4,1.59,0,-22.71,0,-27.88,-29.42,-1.0
EXEL,6,30.49,4,37.97,2,0.0,3,0.0,0.0,2.05
EXTR,7,8.32,5,27.72,1,-6.82,2,-28.82,6.23,0.8
EYPT,7,37.06,6,27.71,2,-135.37,1,-133.9,-24.75,-1.0
FARO,5,4.64,4,-8.09,0,1.1,0,0.74,-564.1,-1.0
FATE,6,43.94,3,-12.98,4,-14.93,0,-45.02,-52.79,-1.0
FDMT,3,32.55,1,-27.24,3,397.83,4,32.99,17.14,-1.0
FENC,0,0.0,3,-20.9,2,0.0,1,-91.52,-23.1,-1.0
FFIV,3,4.55,5,9.79,6,24.34,6,23.51,0.0,2.7
FHTX,2,103.37,1,-34.06,1,-13.87,1,-77.14,10.13,-1.0
FICO,8,6.22,6,10.83,8,23.68,7,22.68,6.728,6.61
FIVN,10,27.52,4,-18.47,1,-8.74,0,-27.82,-11.69,-1.0
FIZZ,5,5.04,6,18.93,10,60.32,10,41.78,771.4,1.51
FLEX,4,1.78,6,52.11,5,14.16,5,15.72,2.585,0.2
FLGT,6,52.29,5,12.31,2,-0.54,2,-4.93,32.47,-1.0
FMS,5,5.03,3,0.32,0,7.4,1,10.11,-0.718,61.87
FN,8,14.94,7,30.76,6,16.13,3,13.67,171.0,0.9
FNA,2,22.98,1,-171.88,0,-12.46,0,-7.12,-8.488,-1.0
FNKO,5,24.76,5,51.94,0,6.85,1,4.43,-1.23,-1.0
FOLD,7,30.14,5,4.62,0,-43.63,0,-80.99,-5.507,-1.0
FORG,3,22.95,1,-12.5,1,-10.81,1,-14.21,-16.88,-1.0
FORM,8,13.64,5,37.5,1,6.62,1,6.21,94.84,-1.0
FORR,4,4.39,5,1.62,3,11.57,0,9.63,13.27,148.27
FORTY,9,13.82,7,36.24,1,5.62,6,20.78,13.88,0.23
FOX,4,7.38,4,37.56,2,11.67,3,13.98,9.472,0.36
FOXA,4,7.38,4,37.56,2,11.67,3,13.98,9.472,0.36
FROG,4,40.55,1,-109.76,0,-9.73,1,-5.88,17.64,-1.0
FRPT,10,31.56,3,-29.16,0,-3.83,1,-3.61,-9.981,-1.0
FRSH,6,34.23,2,0.0,0,0.0,0,0.0,-15.8,-1.0
FSLY,5,37.85,1,-24.0,0,-15.39,1,-19.97,-41.82,-1.0
FTNT,10,22.84,4,-1.32,5,15.78,4,6.44,53.87,-1.0
FTRE,0,1.24,0,-42.34,0,5.28,0,1.75,1.399,-1.0
FTV,5,6.29,4,6.22,1,10.52,6,16.89,10.04,4.91
FULC,1,0.0,2,8.57,0,-43.54,0,-53.09,41.84,-1.0
FUN,5,5.28,5,21.52,2,14.34,6,32.71,2.492,0.63
FUSN,0,0.0,1,-13.92,0,-21.92,1,-30.81,-48.88,-1.0
FWONA,5,6.57,4,-78.59,0,0.23,2,-0.16,1.55,-1.0
FWONK,5,6.57,4,-78.59,0,0.23,2,-0.16,1.55,-1.0
FYBR,0,-11.74,2,93.22,0,2.72,0,8.2,1.203,0.36
GDDY,10,15.45,6,59.84,0,2.48,4,3.34,3.409,0.72
GDEV,3,66.39,1,-35.0,0,-73.99,1,0.74,224.8,-1.0
GDRX,3,38.61,2,30.53,1,3.85,0,-5.05,0.322,5.98
GDYN,3,37.86,1,-114.32,1,-12.88,1,-5.72,37.85,-1.0
GEHC,0,3.38,0,-2.76,0,11.0,1,16.98,32.75,-1.0
GENI,3,30.63,2,26.09,0,-38.15,1,-32.07,-121.9,-1.0
GERN,2,-48.82,4,2.63,0,-38.32,0,-31.56,-20.13,-1.0
GES,3,1.42,4,-45.38,1,6.8,3,8.43,12.08,-1.0
GETY,1,6.74,1,116.32,1,15.68,0,-24.0,1.723,-1.0
GFS,2,23.13,2,80.31,0,-1.1,0,-3.16,19.45,0.28
GH,6,57.79,1,-75.11,0,-25.18,0,-22.97,-211.2,-1.0
GHC,3,2.68,6,23.62,0,5.8,1,8.0,8.174,0.84
GHG,4,15.56,3,8.21,3,13.34,4,21.25,-17.25,-1.0
GIB,4,3.99,5,8.62,3,14.36,10,17.15,26.66,2.39
GIII,7,13.67,4,5.82,1,12.08,0,11.38,4.737,-1.0
GIL,6,8.06,3,-1.63,4,11.03,4,14.16,16.33,-1.0
GILT,3,-0.5,7,56.82,1,-1.51,0,-0.9,3.532,0.41
GIS,2,1.8,4,0.36,0,11.12,10,26.38,6.708,41.34
GKOS,7,30.72,3,0.0,1,-9.28,0,-7.45,-7.457,-1.0
GLOB,10,26.74,7,33.98,3,10.05,5,13.79,6.517,1.89
GLPG,3,1.21,5,16.38,2,-7.19,1,-4.78,-38.4,-1.0
GLUE,0,0.0,1,-73.49,0,0.0,1,-20.7,-29.86,-1.0
GLW,4,2.48,5,-12.77,0,5.03,2,8.5,4.925,-1.0
GLYC,2,0.0,3,-8.8,6,228.33,0,-37.15,-1.016,-1.0
GMAB,9,35.08,8,68.17,8,21.62,8,17.98,302.7,0.48
GMED,8,11.13,5,11.24,3,12.5,2,11.82,16.02,3.6
GNLX,0,0.0,1,2.47,0,7.21,1,34.15,-2.14,-1.0
GNRC,8,14.27,7,41.74,5,14.66,10,25.04,10.33,0.96
GOGO,8,21.5,4,-5.06,1,-8.72,4,-16.81,3.661,-1.0
GOLF,2,3.74,5,21.98,1,9.07,2,11.24,21.22,0.85
GOSS,0,0.0,1,-5.6,0,0.0,6,48.84,-15.75,-1.0
GPCR,0,0.0,0,0.0,0,0.0,2,51.68,34.26,-1.0
GPRO,4,1.84,6,48.53,3,2.84,2,-18.6,6.241,-1.0
GRCL,0,0.0,2,-48.53,0,0.0,0,-34.82,-92.72,-1.0
GRMN,6,8.42,4,8.51,8,20.13,6,16.67,25.18,2.68
GRND,1,33.74,0,-4200.0,0,-338.32,1,21.03,0.325,-1.0
GRTS,2,0.0,2,-16.37,0,-64.98,0,-53.09,-97.51,-1.0
GSK,3,1.56,7,110.86,3,14.15,9,55.54,7.319,0.09
GTN,8,20.2,6,55.44,0,5.58,5,14.54,2.797,0.13
HAE,4,2.08,5,13.54,1,4.68,0,5.92,10.67,2.42
HAIN,3,-4.03,5,12.46,0,4.14,0,3.4,-1.87,-1.0
HALO,9,37.0,5,8.59,3,-24.36,6,57.84,15.79,2.08
HARP,5,35.29,3,-43.16,3,88.41,2,-70.71,115.0,-1.0
HAYW,2,19.36,1,-23.53,0,8.45,1,14.88,5.557,-1.0
HCAT,5,28.12,1,-11.0,0,-24.53,1,-29.95,-83.44,-1.0
HCM,7,15.68,1,-22.68,1,-28.62,0,-12.51,-628.5,-1.0
HCP,3,51.39,1,-54.55,3,711.0,1,-22.63,12.39,-1.0
HELE,5,5.44,3,-15.58,1,10.53,3,13.44,5.197,-1.0
HGV,6,10.04,4,35.67,2,10.66,5,27.12,4.979,0.38
HIMS,3,82.73,2,44.83,0,-25.28,0,-21.07,22.99,-1.0
HIMX,5,5.06,4,-22.54,5,14.54,2,10.35,92.56,-1.0
HLIT,4,-3.08,6,58.48,0,-2.79,0,-7.0,9.032,3.71
HLVX,0,0.0,0,-1998.4,0,0.0,1,-5.89,-19.07,-1.0
HRMY,3,67.31,2,-68.19,2,25.88,3,31.8,7.67,-1.0
HROW,8,41.28,5,-0.57,1,-32.06,2,-51.14,-0.241,-1.0
HRTX,4,0.0,5,5.86,1,-58.97,1,-88.76,-70.6,-1.0
HSTM,6,8.86,3,0.0,0,4.11,0,3.92,-3.97,-1.0
HUYA,4,54.96,3,3.15,1,0.78,0,-1.27,2.852,-1.0
IART,5,7.06,4,-1.55,0,5.34,0,5.78,4.818,-1.0
IBRX,2,-30.46,3,-8.62,2,-58.03,3,-42.62,-5.531,-1.0
ICHR,7,22.78,4,9.9,4,14.26,3,13.28,7.763,-1.0
ICUI,5,5.91,4,-7.74,3,4.32,0,6.08,-0.131,-1.0
ICVX,0,0.0,2,41.01,0,0.0,1,-24.44,28.81,-1.0
IDCC,6,6.89,5,-15.45,4,11.0,4,10.07,2.433,-1.0
IDYA,2,0.0,1,-3.05,0,-17.62,1,-15.76,-16.25,-1.0
IESC,9,14.24,6,138.8,5,15.29,4,14.08,58.02,0.11
IGMS,0,0.0,1,-54.07,0,0.0,5,39.68,33.26,-1.0
IHRT,2,0.22,4,1.28,2,10.52,1,3.08,1.071,-1.0
IHS,7,15.38,5,15.05,1,5.15,0,6.91,-0.162,-1.0
IIIV,6,23.19,4,33.76,0,2.98,1,-0.63,0.904,-1.0
IMAX,4,1.1,3,-30.78,2,8.22,0,4.79,1.541,-1.0
IMCR,3,12.92,1,0.0,0,-472.22,0,-105.27,-5.149,-1.0
IMNM,0,0.0,1,-24.27,0,0.0,1,-46.1,-7380.0,-1.0
IMOS,4,1.86,5,-9.56,1,9.52,4,13.42,22.58,-1.0
IMTX,3,69.38,2,68.41,3,164.29,1,-219.99,3.618,-1.0
INBX,2,-5.66,1,-63.89,5,791.52,2,-100.22,-8.016,-1.0
INDI,2,121.5,1,-1.91,0,-43.4,0,-28.32,-69.82,-1.0
INFN,7,16.59,6,37.26,0,-8.09,0,-29.56,-1.341,-1.0
INMD,5,56.09,4,115.73,5,41.63,5,34.01,54.78,0.08
INNV,3,10.99,2,-122.61,1,-1.92,1,-7.87,-32.45,-1.0
INSM,4,0.0,1,-6.17,0,-119.47,0,-101.54,-18.08,-1.0
INTA,4,27.88,2,-4.53,0,-19.01,2,76.4,-444.0,-1.0
INVA,7,24.6,6,48.34,7,38.23,6,39.68,13.3,0.44
IONQ,1,215.12,1,-397.48,0,-15.44,0,-13.25,2.303,-1.0
IOVA,0,0.0,3,-14.77,0,0.0,0,-45.96,-133.6,-1.0
IPAR,6,8.42,4,3.28,3,12.95,2,9.62,53.99,8.58
IPGP,6,13.41,6,17.88,6,23.95,6,16.76,23.24,3.11
IQ,3,9.44,4,16.95,0,-49.3,0,-63.1,-17.91,1.03
IRDM,6,5.36,5,31.09,0,1.8,0,0.68,1.178,-1.0
IRMD,7,29.64,5,27.63,8,49.22,6,16.19,26.86,1.27
IRON,0,0.0,1,37.7,0,0.0,1,18.88,64.42,-1.0
IRTC,8,47.61,2,-28.04,0,-30.11,1,-36.62,-21.07,-1.0
IRWD,7,12.53,6,34.46,3,-20.53,5,-53.02,32.95,-1.0
ITOS,0,0.0,1,-2.84,1,0.0,1,1.4,-6.597,-1.0
ITRI,3,-2.24,5,16.67,0,2.06,0,-2.06,2.876,2.66
IVVD,0,0.0,1,60.55,0,0.0,0,-65.91,-5.757,-1.0
JAKK,4,-5.16,7,57.18,2,5.23,2,-23.34,5.452,0.07
JANX,1,0.0,1,5.07,0,-9.9,1,-8.89,-16.64,-1.0
JBSS,4,4.77,5,8.31,2,13.49,6,15.42,41.79,2.27
JFIN,4,32.48,4,119.48,1,-31.52,2,-32.48,-7.724,0.01
JJSF,6,6.07,3,-0.82,0,12.02,0,11.48,23.07,-1.0
JOUT,4,2.26,6,19.16,5,12.6,2,11.8,77.24,1.32
KALV,3,0.0,2,-18.84,3,0.0,1,-37.01,6.172,-1.0
KC,3,52.01,0,-35.53,0,-27.86,1,-13.34,-16.34,-1.0
KE,7,8.92,5,8.98,0,7.78,0,8.46,5.394,1.2
KIDS,7,25.38,5,17.56,0,-16.7,0,-14.37,-8.989,-1.0
KIND,2,33.3,1,-90.19,0,-28.65,0,-17.69,-15.5,-1.0
KLG,1,-2.93,0,-75.08,0,5.96,1,9.62,2.0,-1.0
KLIC,6,8.1,4,1.92,5,14.69,2,6.73,277.7,25.93
KN,3,-5.5,4,-14.86,0,3.26,0,2.02,16.97,-1.0
KNSA,1,0.0,4,12.44,1,0.0,5,38.33,5.883,-1.0
KROS,0,0.0,1,-197.04,1,0.0,0,-30.94,-114790.0,-1.0
KRYS,0,0.0,1,-58.95,0,0.0,0,-11.36,-27.81,-1.0
KURA,0,0.0,2,-7.42,0,0.0,7,26.74,-614.1,-1.0
KYMR,2,57.01,1,-32.89,0,-27.53,1,-18.4,-916.2,-1.0
LANC,6,6.55,6,19.52,7,19.61,7,17.49,0.0,2.05
LANV,2,37.74,1,-46.61,0,-31.13,0,-55.05,-9.774,-1.0
LASR,4,23.7,2,-42.2,1,-15.87,0,-7.74,-96.81,-1.0
LAUR,3,-1.12,3,-84.89,0,3.83,2,0.49,16.46,-1.0
LAW,3,40.94,1,-55.32,0,-237.53,1,-9.06,-151.8,-1.0
LBPH,0,0.0,0,-78.3,0,0.0,0,-48.47,-53.52,-1.0
LEG,4,2.51,5,10.44,3,13.13,8,24.49,5.958,1.56
LESL,3,16.31,2,0.0,3,28.09,0,-16.88,1.561,-1.0
LFST,2,121.44,1,-2382.45,0,-13.1,0,-17.04,-10.55,-1.0
LGND,8,40.22,6,598.9,4,7.12,5,15.02,-14.18,0.12
LIAN,0,0.0,1,-123.59,0,0.0,0,-48.98,8.51,-1.0
LILA,3,3.78,5,53.18,0,4.49,1,-10.81,1.192,0.16
LILAK,3,3.78,5,53.18,0,4.49,1,-10.81,1.192,0.16
LILM,0,-25.78,1,2.78,0,-89.32,0,-122.18,-641.1,-1.0
LIND,6,10.38,3,-8.22,2,0.0,2,1.95,-1.681,-1.0
LITE,6,6.76,5,8.25,1,2.81,2,2.46,-3.259,-1.0
LIVN,5,6.4,6,19.06,2,2.47,2,-5.41,1.091,48.33
LMAT,8,10.7,7,26.4,3,8.09,2,11.34,21.46,1.72
LMNR,6,7.59,6,24.42,0,1.58,0,4.73,21.83,1.44
LND,6,20.66,5,-15.47,5,12.64,4,13.39,4.758,-1.0
LNTH,4,3.24,4,-28.12,5,16.82,4,7.12,-1.87,-1.0
LOPE,7,9.98,7,13.42,8,20.59,10,21.08,118750.0,1.43
LQDA,3,-10.57,3,13.64,2,-117.22,2,10.28,-16.58,-1.0
LRN,5,5.86,5,-1.42,0,5.4,0,4.2,19.69,-1.0
LTH,2,38.32,1,-50.4,0,-4.79,0,-24.31,0.974,-1.0
LUNG,3,29.38,1,-15.07,0,-77.06,0,-19.72,-55.01,-1.0
LVRO,1,51.93,0,-258.62,1,17.31,0,5.38,0.606,-1.0
LXEO,1,79.68,0,-446.63,1,-169.35,2,71.76,-664.9,-1.0
LXRX,5,-10.82,6,10.5,3,-98.44,0,-5.67,-36.24,-1.0
LYEL,3,695.12,1,-64.91,0,-28.64,0,-27.63,0.0,-1.0
LZB,4,3.0,6,11.08,2,14.0,2,13.63,394.5,1.16
MANU,6,8.74,3,-63.88,0,1.78,0,-3.42,-0.249,-1.0
MATW,6,5.6,5,8.46,0,4.6,0,6.54,1.974,3.18
MBC,2,15.19,1,-249.86,0,8.77,1,11.42,130.5,-1.0
MBUU,9,17.03,6,50.8,8,17.12,8,26.8,48.88,0.23
MCFT,6,15.18,5,15.84,10,36.12,6,32.72,43.64,0.32
MCRI,6,6.82,6,21.9,1,9.78,2,10.32,46.05,0.67
MCS,8,12.49,5,25.77,0,4.44,0,6.84,0.543,1.73
MCW,2,15.57,2,128.17,0,4.81,1,14.09,4.481,0.24
MD,7,9.43,4,-52.39,0,7.88,0,11.11,4.35,-1.0
MDGL,0,0.0,4,-16.92,0,0.0,0,-102.6,-74.06,-1.0
MDXG,6,21.32,6,34.92,2,-8.75,4,7.98,-4.978,6.17
ME,2,10.82,0,-24.16,0,-67.59,0,-33.7,33.81,-1.0
MED,5,7.32,7,39.57,10,106.42,10,38.33,-263.6,0.14
MEI,6,6.62,4,-1.59,4,11.78,5,14.54,33.48,-1.0
MGIC,10,14.52,3,-10.72,2,11.99,1,8.41,16.76,-1.0
MGNI,8,33.56,3,-7.29,1,-10.26,0,-15.48,-3.418,-1.0
MGNX,4,-0.85,5,-8.38,1,-53.56,0,-35.7,-461.7,-1.0
MGPI,5,6.4,6,12.82,3,14.26,7,17.65,27.33,1.59
MGTX,2,0.0,2,-17.36,0,-58.05,1,-33.18,-23.53,-1.0
MIRM,1,0.0,2,10.5,0,-48.16,2,34.54,-8.212,-1.0
MITK,10,31.64,6,25.38,1,4.72,1,3.06,3.349,2.6
MLAB,9,13.96,3,1.05,0,7.72,0,3.76,-8.224,-1.0
MLCO,5,4.41,3,-50.92,0,7.16,4,13.1,-1.973,-1.0
MLKN,5,5.13,5,18.68,5,14.83,6,19.82,1.725,1.92
MLTX,0,0.0,0,-39.24,0,0.0,0,-131.92,110.0,-1.0
MLYS,0,0.0,1,-85.11,0,0.0,2,70.83,0.0,-1.0
MMSI,9,12.11,5,11.11,0,3.58,0,4.29,13.81,4.09
MNKD,4,1.66,6,17.91,4,0.0,9,47.22,-2.783,-1.0
MNRO,7,6.98,4,3.12,0,7.56,0,10.38,3.441,8.08
MODG,6,11.86,5,32.21,3,6.9,1,5.88,1.798,0.8
MODN,8,14.1,4,-3.46,2,-15.78,0,-26.73,-0.624,-1.0
MODV,5,5.94,4,-53.62,3,6.98,3,11.0,0.921,-1.0
MOMO,6,41.34,5,0.58,7,19.12,4,13.88,19.48,7.95
MOR,6,24.36,5,9.87,1,-11.84,1,-13.02,1.393,1.18
MORF,3,164.72,3,18.11,3,80.8,1,-27.99,-13.88,-1.0
MPLN,1,-3.4,1,-662.5,0,3.69,0,-20.42,0.999,-1.0
MPX,7,12.23,8,41.66,8,28.32,8,26.66,153.2,0.19
MRCY,8,15.54,5,-0.97,0,4.06,0,3.54,-0.862,-1.0
MREO,2,0.0,4,12.34,0,-98.81,1,-58.68,-12.96,-1.0
MRNS,2,0.0,4,-2.17,2,0.0,0,-53.36,-10.57,-1.0
MRSN,3,-30.31,3,7.88,5,132.69,1,-55.3,-61.51,-1.0
MRTX,2,0.0,2,-17.74,2,0.0,0,-55.1,42.3,-1.0
MRUS,6,64.03,2,-28.07,2,-107.57,1,-53.1,-58.79,-1.0
MRVI,4,57.06,2,48.9,2,20.2,3,95.26,28.13,0.24
MSGE,3,6.07,2,6.31,0,-2.63,1,-0.7,2.024,3.96
MSGS,6,12.69,4,-44.58,0,-0.81,1,-3.0,3.722,-1.0
MTLS,9,17.32,4,-22.22,1,1.52,1,0.12,0.733,-1.0
MVIS,3,-28.13,4,6.22,8,299.16,3,-96.96,67.45,-1.0
MXCT,10,29.59,5,-4.29,5,13.56,3,-22.92,-215.6,-1.0
MXL,8,23.94,5,16.91,2,-2.33,2,-5.68,18.45,-1.0
MYPS,1,3.74,0,-132.78,0,-0.7,0,-1.17,1.604,-1.0
NAAS,6,34.28,1,-155.07,3,-48.24,2,-15.47,-239.5,-1.0
NAMS,0,0.0,0,-411.43,0,-111.86,0,-44.3,-249.3,-1.0
NAPA,4,11.43,3,30.19,0,5.4,0,6.96,9.042,0.55
NARI,4,135.76,2,24.64,1,7.07,0,4.49,-95.57,-1.0
NATR,4,1.56,4,-71.1,4,9.21,2,6.62,65.29,-1.0
NAUT,0,0.0,1,-135.9,0,0.0,2,18.87,-10.94,-1.0
NBTX,4,-33.92,1,-5.08,6,257.84,2,-84.22,-8.001,-1.0
NCNO,4,47.83,0,-19.05,1,-34.93,0,-9.71,-47.13,-1.0
NEO,10,10.0,2,-162.5,0,0.52,0,0.1,-101.7,-1.0
NEOG,8,12.54,3,0.9,1,11.13,0,9.12,0.67,-1.0
NGMS,3,44.81,0,-9.52,2,20.53,0,4.37,1.197,-1.0
NKTX,0,0.0,1,-98.04,0,0.0,1,-23.89,-21.29,-1.0
NMRA,0,0.0,1,-47.56,0,0.0,2,51.13,0.0,-1.0
NNDM,6,208.62,5,25.0,0,-112.3,0,-46.44,-1.648,-1.0
NOMD,4,5.28,6,21.19,0,5.19,0,7.62,5.645,0.64
NPCE,2,9.82,2,11.72,0,-47.91,1,-51.85,-5.418,-1.0
NRDY,3,15.64,0,-18.18,2,318.62,0,-60.56,-188.0,-1.0
NRIX,2,6.48,0,-50.59,1,-27.35,1,-24.57,12.84,-1.0
NTCO,3,8.3,1,-228.38,3,18.85,0,0.88,-0.038,-1.0
NTCT,5,4.9,8,77.9,1,1.43,0,1.58,8.397,0.31
NTGR,3,-1.96,4,-26.32,0,6.1,0,5.55,-6.608,-1.0
NTLA,6,41.64,0,-32.39,1,-39.03,0,-24.97,-53.64,-1.0
NUS,3,0.74,4,-20.2,7,18.84,9,19.1,5.067,-1.0
NUVB,0,0.0,0,-62.36,0,0.0,0,-12.11,13.07,-1.0
NUVL,0,0.0,2,12.33,0,0.0,1,-15.84,-20.24,-1.0
NVAX,7,28.88,4,-28.74,2,-64.96,6,86.85,-32.43,-1.0
NVCR,8,41.6,4,1.43,0,-34.61,0,-44.49,-26.85,-1.0
NVEC,4,-0.9,5,5.1,6,16.42,6,16.3,-17.7,3.23
NVMI,9,17.86,6,25.05,4,13.32,4,12.94,117.0,1.15
NVRO,8,24.02,5,7.55,0,-17.27,0,-20.71,-15.37,-1.0
NVST,1,1.21,1,-7.43,0,4.4,0,5.78,8.313,-1.0
NVTS,2,80.08,1,-42.18,0,-228.86,1,-105.84,-87.23,-1.0
NWL,4,1.95,3,-17.8,0,7.9,4,9.79,3.753,-1.0
OABI,2,59.67,0,-34.16,0,-7.86,0,-9.04,45.4,-1.0
OCS,0,0.0,0,-66.84,0,0.0,2,34.97,-5.026,-1.0
OCUL,6,13.07,3,2.72,0,-514.63,2,-67.38,-11.2,-1.0
ODD,2,73.53,2,35.52,2,24.66,2,21.15,0.0,1.29
OFIX,2,1.0,7,68.56,0,-1.39,0,-1.91,-16.05,-1.0
OGN,0,-2.06,0,-44.43,3,19.47,0,-102.8,3.502,-1.0
OLK,3,47.2,2,60.0,0,-6.99,0,-3.13,-57.63,-1.0
OLLI,7,16.78,4,4.59,2,10.59,2,12.23,44.15,6.1
OLMA,0,0.0,1,-68.39,0,0.0,1,-15.82,299.7,-1.0
OLO,3,51.8,1,8.82,0,-13.77,0,-6.02,-279.3,-1.0
OLPX,3,90.49,1,9.38,2,20.57,2,31.25,8.849,1.95
OMCL,8,14.21,6,33.21,0,6.62,0,6.17,-17.87,-1.0
OMI,2,1.79,5,4.87,0,8.05,1,8.8,1.511,-1.0
OPK,5,13.1,4,-58.42,0,-6.82,0,-10.8,-20.42,-1.0
OPRA,4,33.67,3,93.33,0,4.96,0,3.28,1.733,0.17
ORGO,3,14.81,2,-6.38,2,3.14,1,2.58,11.1,-1.0
ORIC,0,0.0,1,-15.72,0,0.0,0,-31.27,-34.69,-1.0
ORTX,2,1.63,4,45.98,1,-23.53,0,-50.31,-33.86,0.12
OSIS,6,6.86,4,3.94,0,6.99,1,11.38,6.75,5.69
OSPN,4,1.38,5,-2.64,2,1.92,2,2.42,-0.832,-1.0
OSUR,9,11.73,6,26.46,2,-1.36,0,1.1,-0.447,0.46
OSW,4,6.56,4,62.7,1,0.38,0,-6.68,0.961,10.78
OTLY,3,52.63,0,-69.23,0,-19.37,0,-18.51,-281.0,-1.0
OXM,6,5.85,5,15.01,2,11.07,5,14.54,71.75,0.65
PACB,5,5.76,6,19.02,0,-99.7,0,-88.88,-20.75,-1.0
PAHC,4,3.95,3,-20.78,3,8.32,8,24.06,4.003,-1.0
PAR,3,-0.62,5,-32.0,0,-6.84,0,-10.14,-7.086,-1.0
PBH,5,6.59,5,13.18,1,6.98,1,12.31,4.995,-1.0
PBI,1,-2.46,5,3.74,1,10.42,6,73.24,-0.169,-1.0
PCRX,8,23.98,4,-8.56,1,4.28,1,-1.62,1.502,-1.0
PD,5,31.77,1,-14.96,1,-28.68,0,-39.14,-23.81,-1.0
PDCO,5,5.74,4,-8.2,0,9.12,3,13.69,8.205,-1.0
PDFS,4,1.32,4,-20.82,4,6.9,1,-1.15,-0.817,-1.0
PEGA,9,10.97,3,-11.94,0,6.24,0,4.87,-11.25,-1.0
PENN,6,7.66,5,11.65,1,4.53,0,-10.11,1.285,-1.0
PERI,6,29.64,6,79.2,2,7.32,2,5.5,24.25,0.15
